0.00,4.81,5.11,3.34,3.98,3.96,3.64,2.50,4.80,3.81
4.81,0.00,3.67,2.29,4.07,2.78,2.66,3.59,2.35,1.73
5.11,3.67,0.00,3.59,3.20,3.11,2.53,3.68,3.52,4.15
3.34,2.29,3.59,0.00,4.26,2.99,2.58,1.87,1.73,2.35
3.98,4.07,3.20,4.26,0.00,2.11,2.59,3.64,5.04,3.55
3.96,2.78,3.11,2.99,2.11,0.00,2.53,2.62,3.64,2.59
3.64,2.66,2.53,2.58,2.59,2.53,0.00,2.70,3.55,2.11
2.50,3.59,3.68,1.87,3.64,2.62,2.70,0.00,3.27,3.00
4.80,2.35,3.52,1.73,5.04,3.64,3.55,3.27,0.00,3.44
3.81,1.73,4.15,2.35,3.55,2.59,2.11,3.00,3.44,0.00
